"key","KZ","RU","EN"
"aqmola_desc","Қазақстанның солтүстік бөлігінде орналасқан облыс астық өндірісі дамыған ауыл шаруашылығы орталығы болып табылады. Облыста алтын өндіру және машина жасау саласы да дамыған.","Расположенная в северной части Казахстана, область является центром сельского хозяйства с развитым зерновым производством. В регионе также ведется добыча золота и развито машиностроение.","Located in the northern part of Kazakhstan, the region is an agricultural center with developed grain production. Gold mining and mechanical engineering are also carried out in the region."
"aqtobe_desc","Ол Қазақстанның батысында орналасқан және мұнай және газ кен орындарымен танымал. Хром, никель, мысты өндіру жүргізіледі. Өңірде агроөнеркәсіп кешені де дамып келеді.","Находится на западе Казахстана и известна своими нефтяными и газовыми месторождениями. Ведется добыча хрома, никеля и меди. Также в области развивается агропромышленный комплекс.","Located in the west of Kazakhstan and known for its oil and gas fields. Chromium, nickel and copper are mined. The agro-industrial complex is also developing in the region."
"almaty_desc","Қазақстанның оңтүстік-шығысында орналасқан облыс жеміс-жидек пен көкөніс өсірілетін құнарлы жерлерімен әйгілі. Облыста туризм мен тамақ өнеркәсібі де дамыған.","Расположенная на юго-востоке Казахстана, область славится своими плодородными землями, где выращиваются фрукты и овощи. В регионе также развиты туризм и пищевая промышленность.","Located in the southeast of Kazakhstan, the region is famous for its fertile lands where fruits and vegetables are grown. Tourism and the food industry are also developed in the region."
"atyrau_desc","Ол еліміздің батысында орналасқан және Қазақстандағы мұнай өндіру орталықтарының бірі болып табылады. Облыс сонымен қатар дамыған балық аулау және балық өңдеумен танымал.","Находится на западе страны и является одним из центров нефтедобычи в Казахстане. Область также известна развитым рыболовством и переработкой рыбы.","Located in the west of the country and is one of the centers of oil production in Kazakhstan. The region is also known for its developed fishing and fish processing."
"bqo_desc","Ол елдің батысында орналасқан және мұнай кен орындарымен танымал. Облыста машина жасау мен агроөнеркәсіп кешені де дамыған.","Находится на западе страны и известна своими нефтяными месторождениями. В области также развиты машиностроение и агропромышленный комплекс.","Located in the west of the country and known for its oil fields. The region also has developed mechanical engineering and agro-industrial complex."
"jambyl_desc","Ол Қазақстанның оңтүстігінде орналасқан және егін шаруашылығымен, атап айтқанда мал және өсімдік шаруашылығымен танымал. Облыста химия өнеркәсібі мен тау-кен өнеркәсібі дамыған.","Находится на юге Казахстана и известна своим сельским хозяйством, в частности, животноводством и растениеводством. В области также развиты химическая промышленность и добыча полезных ископаемых.","It is located in the south of Kazakhstan and is known for its agriculture, in particular, livestock farming and crop production. The region also has developed chemical industry and mining."
"jetisu_desc","Қазақстанның оңтүстігінде орналасқан облыс өзінің табиғи байлығымен және ауыл шаруашылығы өнімдерінің алуан түрлілігімен әйгілі. Облыста тамақ және жеңіл өнеркәсіп қарқынды дамып келеді.","Расположенная на юге Казахстана, область славится своими природными ресурсами и разнообразием сельскохозяйственной продукции. В регионе активно развиваются пищевая и легкая промышленности.","Located in the south of Kazakhstan, the region is famous for its natural resources and variety of agricultural products. The food and light industries are actively developing in the region."
"qaragandy_desc","Қазақстанның көмір өнеркәсібі мен металлургиясы дамыған орталық аймағы. Облыс темір рудасын да өндіреді және машина жасау дамыған.","Центральный регион Казахстана, известный развитой угольной промышленностью и металлургией. В области также ведется добыча железных руд и развито машиностроение.","The central region of Kazakhstan, known for its developed coal industry and metallurgy. The region also mines iron ore and has developed mechanical engineering."
"qostanai_desc","Қазақстанның солтүстігінде орналасқан облыс астық өндірісі дамыған маңызды ауылшаруашылық аймағы болып табылады. Облыс темір рудасын да өндіреді және машина жасау мен тамақ өнеркәсібін белсенді дамытады.","Расположенная на севере Казахстана, область является важным аграрным регионом с развитым зерновым производством. В регионе также ведется добыча железной руды и активно развиваются машиностроение и пищевая промышленность.","Located in the north of Kazakhstan, the region is an important agricultural region with developed grain production. The region also mines iron ore and actively develops mechanical engineering and the food industry."
"qyzylorda_desc","Ол Қазақстанның оңтүстігінде орналасқан және мұнай және газ кен орындарымен танымал. Облыста ауыл шаруашылығы, оның ішінде күріш шаруашылығы қарқынды дамып келеді.","Находится на юге Казахстана и известна своими месторождениями нефти и газа. В регионе активно развивается сельское хозяйство, в частности, рисоводство.","It is located in the south of Kazakhstan and is known for its oil and gas deposits. Agriculture is actively developing in the region, in particular, rice growing."
"mangystau_desc","Батыс Қазақстанда орналасқан аймақ мұнай мен газдың үлкен қорымен танымал. Облыста химия және тамақ өнеркәсібі де дамып келеді.","Расположенная на западе Казахстана, область известна крупными запасами нефти и газа. В регионе также развиваются химическая и пищевая промышленности.","Located in the west of Kazakhstan, the region is known for its large oil and gas reserves. The region also has a developing chemical and food industry."
"pavlodar_desc","Ол Қазақстанның солтүстік-шығысында орналасқан және металлургиялық өнеркәсібімен, оның ішінде алюминий өндірісімен танымал. Облыста көмір өндіру мен ауыл шаруашылығы да дамыған.","Находится на северо-востоке Казахстана и известна своей металлургической промышленностью, включая производство алюминия. В области также ведется добыча угля и развито сельское хозяйство.","Located in northeastern Kazakhstan, it is known for its metallurgy, including aluminum production. The region also has coal mining and developed agriculture."
"sqo_desc","Қазақстанның солтүстігінде орналасқан облыс егін және мал шаруашылығы дамыған маңызды ауыл шаруашылығы аймағы болып табылады. Облыста тамақ өнеркәсібі мен машина жасау саласы да дамып келеді.","Расположенная на севере Казахстана, область является важным аграрным регионом с развитым растениеводством и животноводством. В регионе также развиваются пищевая промышленность и машиностроение.","Located in northern Kazakhstan, the region is an important agricultural region with developed crop and livestock farming. The region also has developing food industry and mechanical engineering."
"turkistan_desc","Ол еліміздің оңтүстігінде орналасқан және өзінің тарихи және мәдени көрікті жерлерімен танымал. Облыста ауыл шаруашылығы, оның ішінде мақта және жеміс-жидек шаруашылығы белсенді дамып келеді.","Находится на юге страны и славится своими историческими и культурными достопримечательностями. В области активно развивается сельское хозяйство, включая производство хлопка и фруктов.","Located in the south of the country, it is famous for its historical and cultural attractions. Agriculture is actively developing in the region, including cotton and fruit production."
"ulytau_desc","Орталық Қазақстанда орналасқан аймақ өзінің пайдалы қазбаларымен, соның ішінде мыс пен мырыш қорымен танымал. Өңірде ауыл шаруашылығы мен туризм де дамып келеді.","Расположенная в центральной части Казахстана, область известна своими запасами полезных ископаемых, включая медь и цинк. В регионе также развиваются сельское хозяйство и туризм.","Located in central Kazakhstan, the region is known for its mineral reserves, including copper and zinc. Agriculture and tourism are also developing in the region."
"shqo_desc","Located in the east of Kazakhstan, the region is known for its developed mining industry, including the production of non-ferrous metals. Energy and agriculture are also developed in the region.","Расположенная на востоке Казахстана, область известна развитой горнодобывающей промышленностью, включая добычу цветных металлов. Также в регионе развиты энергетика и сельское хозяйство.","Situated in the east of Kazakhstan, the region is known for its developed mining industry, including non-ferrous metals. The region also has developed energy and agriculture."
"select_region","Аймақты таңдаңыз","Выберите регион","Select region"
"search","Іздеу","Поиск","Search"
"first_event","«Экономиканы ырықтандыру жөніндегі шаралар туралы» Қазақстан Республикасы Президентінің № 542 Жарлығының 2-тармағының 3-тармақшасына сәйкес.","В соответствии с подпунктом 3, пункта 2, указа Президента Республики Казахстан #542 “О мерах по либерализации эконоки”.","In accordance with subparagraph 3, paragraph 2, Decree of the President of the Republic of Kazakhstan #542 “On measures to liberalize the economy”."
"second_event","Ұлттық жекешелендіру басқармасын құру туралы хабарландыру.","Обьявление о создание Национального Офиса Приватизации.","Announcement on the establishment of the National Privatization Office."
"third_event","Жекешелендірудің ұлттық басқармасын құру.","Создание Национального Офиса Приватизации.","Establishment of the National Privatization Office."
"objects_list","Объектілер тізімі","Список объектов","List of Enterprises"
"no_objects","Объекттер табылмады","Объекты не найдены","No enterprises found"
"industry","Өнеркәсіп","Отрасль","Industry"
"details","Толығырақ","Подробнее","Details"
"objects_amount","Объекттер саны","Количество объектов","Number of enterprises"
"industries_amount","Өнеркәсіптер саны","Количество отраслей","Number of industries"
"see_full_list","Толығырақ тізімді көру","Посмотреть полный список","See full list"
"about_office","Офисті туралы","Об офисе","About the office"
"team","Құрама","Состав","Compound"
"npa","НҚА","НПА","Normative Legal Act"
"contacts","Байланыс","Контакты","Contacts"
"office_of_nop","“Ұлттық жекешелендіру кеңсесі” миссиясы","Миссия ”Национального Офиса Приватизации”","Mission of the ”National Office of Privatization”"
"main_group","Басты тобы","Основная группа","Main group"
"first_sub_group","I арнайы тобы","I подгруппа","I subgroup"
"second_sub_group","II арнайы тобы","II подгруппа","II subgroup"
"address","Мекен-жай","Адрес","Address"
"main_phone","Басты телефон","Рабочий номер телефона:","Main phone"
"additional_phone","Қосымша телефон","Дополнительный телефон:","Additional phone"
"download","Жүктеу","Скачать","Download"
"media_space","Медиа кеңістігі","Медиа пространство","Media space"
"events","Оқиғалар","Мероприятия","Events"
"reports_and_documents","Есептер мен құжаттар","Отчеты и документы","Reports and documents"
"documents_not_found","Құжаттар табылмады","Документы не найдены","Documents not found"
"upcoming","Алдағы","Предстоящие","Upcoming"
"past","Өткен","Прошедшие","Past"
"all","Барлығы","Все","All"
"events_not_found","Оқиғалар табылмады","Мероприятия не найдены","Events not found"
"object_details","Объект туралы толығырақ","Подробнее об объекте","More about the object"
"name","Атауы","Название","Name"
"location","Орналасуы","Местоположение","Location"
"gov_participation","Дерлікке қатысу","Государственное участие","Government participation"
"send","Жіберу","Отправить","Send"
"cancel","Болдырмау","Отмена","Cancel"
"share_contact_info_for_callback","Телефон нөміріңізді қалдырып, біз сізге қоңырау шаламыз","Оставьте свой номер телефона, и мы свяжемся с вами","Leave your phone number, and we will contact you"
"fio","ФИО","ФИО","Full name"
"enter_fio","ФИО-ңызды енгізіңіз","Введите ФИО","Enter your full name"
"please_enter_fio","ФИО-ңызды енгізіңіз","Введите ФИО","Enter your full name"
"bin","БИН","БИН","BIN"
"enter_bin","БИН-ді енгізіңіз","Введите БИН","Enter BIN"
"please_enter_bin","БИН-ді енгізіңіз","Введите БИН","Enter BIN"
"phone_or_email","Телефон нөмірі немесе электрондық пошта","Номер телефона или электронная почта","Phone number or e-mail"
"enter_phone_or_email","Телефон нөмірін немесе электрондық поштаны енгізіңіз","Введите номер телефона или электронную почту","Enter phone number or e-mail"
"please_enter_phone_or_email","Телефон нөмірін немесе электрондық поштаны енгізіңіз","Введите номер телефона или электронную почту","Enter phone number or e-mail"
"Astana_city","Астана қаласы","Город Астана","Astana_city"
"Almaty_city","Алматы қаласы","Город Алматы","Almaty_city"
"Shymkent_city","Шымкент қаласы","Город Шымкент","Shymkent_city"
"select_region","Аймақты таңдаңыз","Выберите регион","Select region"
"select_field","Өнеркәсіпті таңдаңыз","Выберите отрасль","Select industry"
"application_sent","Сіздің өтінішіңіз қабылданды","Ваша заявка принята","Your application has been accepted"
"we_will_review_your_request_and_contact_with_you","Сіздің өтінішіңізді тексеріп, сізге хабарласамыз","Мы рассмотрим ваш запрос и свяжемся с вами","We will review your request and contact you"
"message","Хабарлама","Сообщение","Message"
"enter_message","Хабарламаны енгізіңіз","Введите сообщение","Enter message"
"please_enter_message","Хабарламаны енгізіңіз","Введите сообщение","Enter message"
"phone","Телефон","Телефон","Phone"
"enter_phone","Телефон нөмірін енгізіңіз","Введите номер телефона","Enter phone number"
"please_enter_phone","Телефон нөмірін енгізіңіз","Введите номер телефона","Enter phone number"
"email","Электрондық пошта","Электронная почта","E-mail"
"enter_email","Электрондық поштаңызды енгізіңіз","Введите вашу электронную почту","Enter your e-mail"
"please_enter_email","Электрондық поштаңызды енгізіңіз","Введите вашу электронную почту","Enter your e-mail"
"bin_must_be_12_digits","БИН 12 символдан тұруы керек","БИН должен состоять из 12 символов","BIN must be 12 digits"
"request_reason","Өтініш себебі","Причина запроса","Request reason"
"phone_must_be_10_digits","Телефон нөмірі 10 символдан тұруы керек","Телефонный номер должен состоять из 10 цифр","Phone number must be 10 digits"
"planned_at","Жоспарланған уақыт","Запланированное время","Planned at"
"no_enterprises_found","Объекттер табылмады","Объекты не найдены","No enterprises found"
"implementation_form","Іске асыру формасы","Способ реализации","Implementation form"
"sales_recommendations","Іске асыру мерзімі (жыл)","Срок реализации (год)","Implementation period (year)"
"see_object_passport","Объект паспортына өту","Перейти к паспорту объекта","Go to object passport"
"close","Жабу","Закрыть","Close"
"catalog_total","Барлығы","Всего","Total"
"objects_word","нысан","объектов","objects"
"reset_filters","Сүзгілерді тазалау","Сбросить фильтры","Reset filters"
"office_address","Астана қ., Есіл ауданы, Мәңгілік Ел даңғылы, 8","Проспект Мангилик Ел, 8, Есиль район, г. Астана","8 Mangilik El Avenue, Yesil District, Astana"
